"vocabulary","meaning_en","meaning_vi","hiragana","kanji_vi","sentence","sentence_translation_en","sentence_translation_vi","note"
"じゃがいも","potato","khoai tây","じゃがいも","Từ này không có kanji, thường được viết bằng hiragana hoặc katakana. Đây là từ mượn từ tiếng Bồ Đào Nha 'batata' thông qua tiếng Hà Lan 'aardappel'.","カレーにじゃがいもを入れます。","I put potatoes in curry.","Tôi cho khoai tây vào cà ri.","Từ này thường dùng trong nấu ăn và là một trong những loại rau củ phổ biến ở Nhật Bản. Không có kanji chính thức cho từ này."
"さつまいも","sweet potato","khoai lang","さつまいも","Từ này thường được viết bằng hiragana hoặc katakana, không có kanji phổ biến. Tuy nhiên, nếu phân tích:<br>薩摩芋 (Satsuma imo)<br>薩摩 (Satsuma): tên một vùng ở Nhật Bản (nay là tỉnh Kagoshima).<br>芋 (khoai): nghĩa là củ, khoai.","秋になると、さつまいもが美味しくなります。","Sweet potatoes become delicious in autumn.","Vào mùa thu, khoai lang trở nên ngon hơn.","さつまいも là loại khoai lang phổ biến ở Nhật Bản, thường được dùng trong các món ăn vặt và món tráng miệng. Tên gọi bắt nguồn từ vùng Satsuma, nơi loại khoai này được trồng nhiều."
"キャベツ","Cabbage","Bắp cải","きゃべつ","Từ này không có kanji, được viết bằng katakana vì là từ mượn từ tiếng nước ngoài (tiếng Anh: cabbage).","サラダにキャベツを入れました。","I put cabbage in the salad.","Tôi đã cho bắp cải vào món salad.","キャベツ là từ mượn tiếng Anh, thường được viết bằng katakana. Đây là loại rau phổ biến trong ẩm thực Nhật Bản."
"にんじん","carrot","cà rốt","にんじん","Từ này thường được viết bằng hiragana hoặc katakana là にんじん (ニンジン), nhưng cũng có thể gặp dạng kanji là 人参.<br>人 (Nhân): nghĩa là người.<br>参 (Tham): nghĩa là tham gia, đến, hoặc cũng dùng trong một số từ chỉ thực vật.<br>Tuy nhiên, trong từ này, các chữ kanji không mang nghĩa gốc mà chỉ dùng để biểu thị âm đọc.","にんじんをサラダに入れました。","I put carrots in the salad.","Tôi đã cho cà rốt vào món salad.","にんじん là từ phổ biến để chỉ củ cà rốt. Trong văn viết hoặc thực đơn, có thể gặp dạng katakana (ニンジン). Kanji 人参 ít dùng trong đời thường."
"玉ねぎ","Onion","Hành tây","たまねぎ","Toàn bộ từ 玉ねぎ có nghĩa là hành tây.<br>玉 (Ngọc): nghĩa là viên ngọc, hòn ngọc, hoặc hình tròn, cũng có thể chỉ vật gì đó tròn như quả bóng.<br>ねぎ (葱 - Thông): là từ chỉ cây hành, nhưng trong từ này được viết bằng hiragana.","カレーに玉ねぎを入れます。","I put onions in curry.","Tôi cho hành tây vào cà ri.","玉ねぎ là từ phổ biến để chỉ hành tây trong tiếng Nhật. Chữ 玉 thường dùng để chỉ hình tròn, còn ねぎ là hành (thường viết bằng hiragana trong từ này)."
"長ねぎ","Green onion; Welsh onion; Scallion","Hành lá; hành tây Nhật Bản","ながねぎ","Hành lá Nhật Bản (loại hành dài, thân trắng, thường dùng trong ẩm thực Nhật Bản).<br>長 (Trường): nghĩa là dài, trường.<br>ねぎ (Hành): là cách viết kana của từ 'hành', chỉ loại rau hành.","味噌汁に長ねぎを入れました。","I put green onion in the miso soup.","Tôi đã cho hành lá vào súp miso.","長ねぎ là loại hành dài, thân trắng, phổ biến trong các món ăn Nhật Bản như súp miso, nabe, và yakitori. Khác với hành lá (青ねぎ), 長ねぎ thường có phần thân trắng dài hơn."
"にんにく","garlic","tỏi","にんにく","にんにく thường được viết bằng hiragana hoặc katakana, nhưng cũng có thể được viết bằng kanji là '大蒜'.<br>Giải thích từng kanji:<br>大 (Đại): nghĩa là lớn, to.<br>蒜 (Toán): nghĩa là tỏi.","料理ににんにくを入れると、風味が良くなります。","If you add garlic to the dish, the flavor will improve.","Nếu bạn cho tỏi vào món ăn, hương vị sẽ ngon hơn.","にんにく là một nguyên liệu phổ biến trong ẩm thực Nhật Bản và trên thế giới. Thường được viết bằng hiragana hoặc katakana, ít khi dùng kanji."
"しょうが","ginger","gừng","しょうが","Từ này thường được viết bằng hiragana là しょうが, nhưng cũng có thể được viết bằng kanji là 生姜.<br>生 (Sinh): nghĩa là sống, tươi, sinh ra.<br>姜 (Khương): nghĩa là gừng.","しょうがを入れて料理を作ります。","I cook by adding ginger.","Tôi nấu ăn bằng cách cho thêm gừng.","しょうが là gia vị phổ biến trong ẩm thực Nhật Bản, thường dùng để khử mùi tanh và tăng hương vị cho món ăn. Thường được viết bằng hiragana."
"ほうれん草","spinach","rau chân vịt (cải bó xôi)","ほうれんそう","菠薐草: Tên gọi chung cho rau chân vịt (cải bó xôi).<br>菠 (Ba): thường dùng trong các từ liên quan đến rau, không phổ biến riêng lẻ.<br>薐 (Lăng): chỉ dùng trong từ này, không phổ biến riêng lẻ.<br>草 (Thảo): nghĩa là cỏ, cây cỏ, thực vật.","ほうれん草のおひたしを作りました。","I made boiled spinach.","Tôi đã làm món rau chân vịt luộc.","ほうれん草 là một loại rau phổ biến trong ẩm thực Nhật Bản, thường dùng trong các món như おひたし (luộc và tẩm gia vị), xào hoặc trong súp. Kanji của từ này hiếm khi được sử dụng trong đời sống hàng ngày, thường viết bằng hiragana hoặc katakana."
"レタス","lettuce","xà lách","れたす","Từ này được viết bằng katakana vì là từ mượn (gốc tiếng Anh: lettuce), không có kanji.","サラダにレタスを入れました。","I put lettuce in the salad.","Tôi đã cho xà lách vào món salad.","レタス là từ mượn tiếng Anh, thường được viết bằng katakana. Được sử dụng phổ biến trong các món ăn như salad."
"トマト","Tomato","Cà chua","とまと","Từ này được viết bằng katakana, không có kanji. Thường dùng katakana cho từ mượn nước ngoài.","サラダにトマトを入れました。","I put tomatoes in the salad.","Tôi đã cho cà chua vào món salad.","トマト là từ mượn từ tiếng Tây Ban Nha/Anh (tomato), thường được viết bằng katakana để chỉ loại quả này."
"きゅうり","cucumber","dưa chuột","きゅうり","Từ này thường được viết bằng hiragana hoặc katakana, không có kanji phổ biến. Nếu viết bằng kanji (胡瓜), thì:<br>胡 (Hồ): nghĩa là hồ, một loại thực vật hoặc chỉ các nước phía tây Trung Quốc thời xưa.<br>瓜 (Qua): nghĩa là quả dưa, các loại quả họ bầu bí.","サラダにきゅうりを入れました。","I put cucumber in the salad.","Tôi đã cho dưa chuột vào món salad.","きゅうり là từ phổ biến chỉ quả dưa chuột, thường dùng trong nấu ăn. Thường được viết bằng hiragana hoặc katakana (キュウリ), ít khi dùng kanji."
